Ano de eleição_x,Cargo_x,UF_x,Nome candidato,Número candidato,Partido,Gênero,Votos válidos,Votos nominais,Data de carga_x,Ano de eleição_y,Cargo_y,UF_y,Coligação,Composição da federação,Região,Sigla da federação,Turno,Quantidade de votos válidos,Data de carga_y,quociente_partidario,media_sobra
2022,Deputado Federal,SP,VINICIUS RAPOZO DE CARVALHO,1085,REPUBLICANOS,Masculino,22429341,113009,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1580891,2025-03-25 03:36:58,5,263481.8333333333
2022,Deputado Federal,SP,MILTON VIEIRA PINTO,1055,REPUBLICANOS,Masculino,22429341,98557,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1580891,2025-03-25 03:36:58,5,263481.8333333333
2022,Deputado Federal,SP,MARIA DO PARTO MENDES ROSAS,1022,REPUBLICANOS,Feminino,22429341,94787,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1580891,2025-03-25 03:36:58,5,263481.8333333333
2022,Deputado Federal,SP,MARCELO DE LIMA FERNANDES,7780,SOLIDARIEDADE,Masculino,22429341,110430,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,379310,2025-03-25 03:36:58,1,189655.0
2022,Deputado Federal,SP,KIM PATROCA KATAGUIRI,4433,UNIÃO,Masculino,22429341,295460,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1811462,2025-03-25 03:36:58,6,258780.2857142857
2022,Deputado Federal,SP,ROSANGELA MARIA WOLFF DE QUADROS MORO,4400,UNIÃO,Feminino,22429341,217170,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1811462,2025-03-25 03:36:58,6,258780.2857142857
2022,Deputado Federal,SP,ALEXANDRE LEITE DA SILVA,4425,UNIÃO,Masculino,22429341,192806,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1811462,2025-03-25 03:36:58,6,258780.2857142857
2022,Deputado Federal,SP,FELIPE BECARI COMENALE,4407,UNIÃO,Masculino,22429341,178777,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1811462,2025-03-25 03:36:58,6,258780.2857142857
2022,Deputado Federal,SP,DAVID BEZERRA RIBEIRO SOARES,4411,UNIÃO,Masculino,22429341,93831,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1811462,2025-03-25 03:36:58,6,258780.2857142857
2022,Deputado Federal,SP,FERNANDO JOSE DE SOUZA MARANGONI,4440,UNIÃO,Masculino,22429341,89390,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1811462,2025-03-25 03:36:58,6,258780.2857142857
