Ano de eleição;Cargo;UF;Nome candidato;Número candidato;Partido;Gênero;Votos válidos;Votos nominais;Data de carga
2022;Deputado Federal;SP;LUIZ CARLOS RAMOS ARRUDA DA SILVA;3615;AGIR;Masculino;23375585;207;2025-03-25 03:36:58
2022;Deputado Federal;SP;APARECIDO BARBOSA DA SILVA;1955;PODE;Masculino;23375585;2748;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARCELO HERCOLIN;4450;UNIÃO;Masculino;23375585;58419;2025-03-25 03:36:58
2022;Deputado Federal;SP;ROBERTA CRISTINA RONCADA GASPAR;1483;PTB;Feminino;23375585;161;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARIA DA PAIXÃO PEREIRA COSTA;1913;PODE;Feminino;23375585;342;2025-03-25 03:36:58
2022;Deputado Federal;SP;GEOVANIA DE SOUSA OLIVEIRA QUEIROZ;1153;PP;Feminino;23375585;0;2025-03-25 03:36:58
2022;Deputado Federal;SP;GEFFERSON LUIS DE SOUSA ROSA;7056;AVANTE;Masculino;23375585;1300;2025-03-25 03:36:58
2022;Deputado Federal;SP;VLADIMIR PINHEIRO SAFATLE;5033;PSOL;Masculino;23375585;17644;2025-03-25 03:36:58
2022;Deputado Federal;SP;FABRES LENE DE AQUINO DELMONDES;1902;PODE;Feminino;23375585;1173;2025-03-25 03:36:58
2022;Deputado Federal;SP;RAFAEL ANGELO ABUD;5149;PATRIOTA;Masculino;23375585;196;2025-03-25 03:36:58
2022;Deputado Federal;SP;EDINALDO ANTÔNIO DO CARMO;3345;PMN;Masculino;23375585;630;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARTA CRISTINA LUCHI DE LIMA;9003;PROS;Feminino;23375585;18;2025-03-25 03:36:58
2022;Deputado Federal;SP;CELSO UBIRAJARA RUSSOMANNO;1000;REPUBLICANOS;Masculino;23375585;305520;2025-03-25 03:36:58
2022;Deputado Federal;SP;SONILDA SOARES CONSTANTINO DE OLIVEIRA;3324;PMN;Feminino;23375585;60;2025-03-25 03:36:58
2022;Deputado Federal;SP;ELISA VITÓRIA OLIVEIRA CABARITI;2765;DC;Feminino;23375585;148;2025-03-25 03:36:58
2022;Deputado Federal;SP;RAFAEL CARLOS LABIAPARI GOMES;5191;PATRIOTA;Masculino;23375585;536;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARIA JULIA SARAIVA DE CARVALHO;2133;PCB;Feminino;23375585;606;2025-03-25 03:36:58
2022;Deputado Federal;SP;EDSON COELHO ARAÚJO FILHO;1502;MDB;Masculino;23375585;17317;2025-03-25 03:36:58
2022;Deputado Federal;SP;JEFFERSON FERNANDO RIBEIRO CABRAL;4038;PSB;Masculino;23375585;177;2025-03-25 03:36:58
2022;Deputado Federal;SP;ALESSANDRO RUIZ MARTINEZ;5586;PSD;Masculino;23375585;8626;2025-03-25 03:36:58
2022;Deputado Federal;SP;BRUNO SCAFFIDI;5510;PSD;Masculino;23375585;2998;2025-03-25 03:36:58
2022;Deputado Federal;SP;PAULO EDUARDO SEADE SERRA;1030;REPUBLICANOS;Masculino;23375585;5826;2025-03-25 03:36:58
2022;Deputado Federal;SP;SAMIRA SILOTI;2298;PL;Feminino;23375585;946;2025-03-25 03:36:58
2022;Deputado Federal;SP;DANIEL NEVES DE FARIA;1516;MDB;Masculino;23375585;2381;2025-03-25 03:36:58
2022;Deputado Federal;SP;EDMILSON DE SOUZA VIEIRA FEITOSA;1575;MDB;Masculino;23375585;850;2025-03-25 03:36:58
2022;Deputado Federal;SP;ANTONIO CARLOS DE OLIVEIRA;4017;PSB;Masculino;23375585;602;2025-03-25 03:36:58
